tsaEligible,damagedStateAbbreviation,residenceType,grossIncome,repairAmount,destroyed,waterLevel
0,TX,House/Duplex,,,0,0.0
1,PR,Mobile Home,,,0,0.0
1,FL,Mobile Home,17952.0,,0,0.0
1,PR,House/Duplex,7000.0,,0,0.0
0,FL,Apartment,20000.0,,0,0.0
0,TX,Apartment,18000.0,,0,
1,PR,House/Duplex,70000.0,,0,
0,FL,Apartment,19000.0,,0,
1,PR,House/Duplex,26000.0,,0,0.0
0,TX,Apartment,22000.0,,0,
1,PR,House/Duplex,,,0,0.0
0,FL,Apartment,,,0,0.0
0,FL,House/Duplex,163000.0,,0,
0,TX,House/Duplex,24336.0,1042.4,0,0.0
0,FL,Apartment,7884.0,,0,
0,TX,House/Duplex,19200.0,,0,
0,PR,Townhouse,42000.0,,0,
0,TX,Apartment,,,0,
1,TX,House/Duplex,,25542.42,0,41.0
0,LA,House/Duplex,27000.0,,0,
0,FL,Condo,,,0,
1,FL,House/Duplex,,,0,
0,FL,House/Duplex,55000.0,,0,
0,FL,House/Duplex,,,0,
0,TX,House/Duplex,30000.0,,0,
0,FL,Apartment,,,0,
1,FL,Apartment,38500.0,,0,
0,FL,House/Duplex,65000.0,,0,
0,FL,House/Duplex,,,0,
1,PR,House/Duplex,16956.0,,0,0.0
0,FL,House/Duplex,,,0,
1,PR,Condo,,,0,
1,TX,House/Duplex,,,0,0.0
0,FL,House/Duplex,35000.0,,0,1.0
1,PR,House/Duplex,11688.0,1427.2,0,0.0
1,TX,House/Duplex,180000.0,,0,
0,TX,House/Duplex,75000.0,,0,
0,TX,House/Duplex,37750.0,,0,
0,LA,Mobile Home,60000.0,,0,
0,FL,House/Duplex,30000.0,,0,0.0
1,PR,House/Duplex,4800.0,2177.37,0,24.0
0,FL,House/Duplex,40000.0,10499.5,0,3.0
0,LA,House/Duplex,,,0,0.0
1,PR,Apartment,17000.0,,0,0.0
1,PR,House/Duplex,12000.0,,0,0.0
0,TX,Mobile Home,,3523.02,0,0.0
1,FL,House/Duplex,85000.0,,0,
0,FL,House/Duplex,45000.0,,0,
1,LA,Townhouse,0.0,,0,0.0
0,TX,Apartment,,,0,
0,FL,Condo,18000.0,,0,0.0
1,FL,Apartment,18000.0,,0,
1,FL,House/Duplex,,,0,0.0
0,FL,House/Duplex,16800.0,,0,0.0
0,TX,House/Duplex,37704.0,,0,
1,TX,Apartment,,,0,
1,FL,Apartment,48500.0,,0,
0,FL,House/Duplex,,,0,0.0
